                     OI-7500 Modbus Register Map,,,,,,,
25B,603,Channel 14 Relay 2 Set Point ,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
25D,605,Channel 15 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
25F,607,Channel 16 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
261,609,Channel 17 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
263,611,Channel 18 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
265,613,Channel 19 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
267,615,Channel 20 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
269,617,Channel 21 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
26B,619,Channel 22 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
26D,621,Channel 23 Relay 2 Set Point ,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
26F,623,Channel 24 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
271,625,Channel 25 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
273,627,Channel 26 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
275,629,Channel 27 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
277,631,Channel 28 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
279,633,Channel 29 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
27B,635,Channel 30 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
27D,637,Channel 31 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
27F,639,Channel 32 Relay 2 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
281,641,Channel 1 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
282,642,Channel 2 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
283,643,Channel 3 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
284,644,Channel 4 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
285,645,Channel 5 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
286,646,Channel 6 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
287,647,Channel 7 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
288,648,Channel 8 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
289,649,Channel 9 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28A,650,Channel 10 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28B,651,Channel 11 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28C,652,Channel 12 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28D,653,Channel 13 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28E,654,Channel 14 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
28F,655,Channel 15 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
290,656,Channel 16 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
291,657,Channel 17 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
292,658,Channel 18 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
293,659,Channel 19 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
294,660,Channel 20 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
295,661,Channel 21 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
296,662,Channel 22 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
297,663,Channel 23 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
298,664,Channel 24 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
299,665,Channel 25 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
29A,666,Channel 26 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
29B,667,Channel 27 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
29C,668,Channel 28 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
29D,669,Channel 29 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
29E,670,Channel 30 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
29F,671,Channel 31 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
2A0,672,Channel 32 Relay 2 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
2A1,673,Channel 1 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2A2,674,Channel 2 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2A3,675,Channel 3 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2A4,676,Channel 4 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2A5,677,Channel 5 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2A6,678,Channel 6 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2A7,679,Channel 7 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2A8,680,Channel 8 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2A9,681,Channel 9 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2AA,682,Channel 10 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2AB,683,Channel 11 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2AC,684,Channel 12 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2AD,685,Channel 13 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2AE,686,Channel 14 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2AF,687,Channel 15 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B0,688,Channel 16 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B1,689,Channel 17 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B2,690,Channel 18 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B3,691,Channel 19 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B4,692,Channel 20 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B5,693,Channel 21 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B6,694,Channel 22 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B7,695,Channel 23 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B8,696,Channel 24 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2B9,697,Channel 25 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2BA,698,Channel 26 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2BB,699,Channel 27 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2BC,700,Channel 28 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2BD,701,Channel 29 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2BE,702,Channel 30 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2BF,703,Channel 31 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2C0,704,Channel 32 Relay 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
2C1,705,Channel 1 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2C2,706,Channel 2 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2C3,707,Channel 3 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2C4,708,Channel 4 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2C5,709,Channel 5 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2C6,710,Channel 6 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2C7,711,Channel 7 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2C8,712,Channel 8 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2C9,713,Channel 9 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2CA,714,Channel 10 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2CB,715,Channel 11 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2CC,716,Channel 12 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2CD,717,Channel 13 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2CE,718,Channel 14 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2CF,719,Channel 15 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D0,720,Channel 16 Relay 3Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D1,721,Channel 17 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D2,722,Channel 18 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D3,723,Channel 19 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D4,724,Channel 20 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D5,725,Channel 21 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D6,726,Channel 22 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D7,727,Channel 23 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D8,728,Channel 24 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2D9,729,Channel 25 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2DA,730,Channel 26 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2DB,731,Channel 27 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2DC,732,Channel 28 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2DD,733,Channel 29 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2DE,734,Channel 30 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2DF,735,Channel 31 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2E0,736,Channel 32 Relay 3 Rise/Fall,,R/W,16,ENUMERATION,"0 - 1 ,0 means low, 1 means high"
2E1,737,Channel 1 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2E3,739,Channel 2 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2E5,741,Channel 3 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2E7,743,Channel 4 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2E9,745,Channel 5 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2EB,747,Channel 6 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2ED,749,Channel 7 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2EF,751,Channel 8 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2F1,753,Channel 9 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2F3,755,Channel 10 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2F5,757,Channel 11 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2F7,759,Channel 12 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2F9,761,Channel 13 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2FB,763,Channel 14 Relay 3 Set Point ,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2FD,765,Channel 15 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
2FF,767,Channel 16 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
301,769,Channel 17 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
303,771,Channel 18 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
305,773,Channel 19 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
307,775,Channel 20 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
309,777,Channel 21 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
30B,779,Channel 22 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
30D,781,Channel 23 Relay 3 Set Point ,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
30F,783,Channel 24 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
311,785,Channel 25 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
313,787,Channel 26 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
315,789,Channel 27 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
317,791,Channel 28 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
319,793,Channel 29 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
31B,795,Channel 30 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
31D,797,Channel 31 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
31F,799,Channel 32 Relay 3 Set Point,,R/W,32,FLOAT,Any number 65000 or less and higher than 0
321,801,Channel 1 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
322,802,Channel 2 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
323,803,Channel 3 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
324,804,Channel 4 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
325,805,Channel 5 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
326,806,Channel 6 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
327,807,Channel 7 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
328,808,Channel 8 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
329,809,Channel 9 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
32A,810,Channel 10 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
32B,811,Channel 11 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
32C,812,Channel 12 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
32D,813,Channel 13 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
32E,814,Channel 14 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
32F,815,Channel 15 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
330,816,Channel 16 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
331,817,Channel 17 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
332,818,Channel 18 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
333,819,Channel 19 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
334,820,Channel 20 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
335,821,Channel 21 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
336,822,Channel 22 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
337,823,Channel 23 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
338,824,Channel 24 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
339,825,Channel 25 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
33A,826,Channel 26 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
33B,827,Channel 27 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
33C,828,Channel 28 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
33D,829,Channel 29 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
33E,830,Channel 30 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
33F,831,Channel 31 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
340,832,Channel 32 Relay 3 Latch/Unlatch,,R/W,16,ENUMERATION,"0 - 1 ,0 means unlatch, 1 means latch"
Modbus and Build Data,,,,,,,
1771,6001,Modbus Address,,R,16,INTEGER,1 – 247
1772,6002,Modbus Baud Rate,,R,16,INTEGER,Any Valid Baud Rate.  See Below.
1773,6003,Month,,R,16,INTEGER,1 – 12
1774,6004,Day,,R,16,INTEGER,1 – 31
1775,6005,Year,,R,16,INTEGER,2009 – 
1776,6006,Serial Number Character,,R,16,ENUMERATION,0 – 52 See Serial Number below
1777,6007,Serial Number,,R,32,LONG INT,1 – 99999
Settings in Startup Menu,,,,,,,
177B,6011,Restore to Factory Default,,R,16,ENUMERATION,When read will be 0.
177C,6012,Relay 3 as Fault Relay,,R,16,ENUMERATION,"0 – 1, 0 means normal relay, 1 means Fault Relay"
177D,6013,Relay 1 Fail Safe,,R,16,ENUMERATION,"0 – 1, 0 means not Fail Safe, 1 means Fail Safe"
177E,6014,Relay 2 Fail Safe,,R,16,ENUMERATION,"0 – 1, 0 means not Fail Safe, 1 means Fail Safe"
177F,6015,Relay 3 Fail Safe,,R,16,ENUMERATION,"0 – 1, 0 means not Fail Safe, 1 means Fail Safe"
1780,6016,N/A,,R,16,,Read as 0.
1781,6017,Fault Terminal Fail Safe,,R,16,ENUMERATION,"0 – 1, 0 means not Fail Safe, 1 means Fail Safe"
1782,6018,Radio Timeout,,R,16,INTEGER,6-255.  This is the timeout in minutes.
1783,6019,Network Channel,,R,16,INTEGER,1—78
1784,6020,Primary Secondary,,R,16,ENUMERATION,"0 – 1, 0  means Primary, 1 means Secondary."
Relays in Alarm State,,,,,,,
1785,6021,Relay 1 is in Alarm,,R,16,ENUMERATION,"0 – 1, 0 means not in Alarm, 1 means in Alarm"
1786,6022,Relay 2 is in Alarm,,R,16,ENUMERATION,"0 – 1, 0 means not in Alarm, 1 means in Alarm"
1787,6023,Relay 3 is in Alarm,,R,16,ENUMERATION,"0 – 1, 0 means not in Alarm, 1 means in Alarm"
Diagnostics Data,,,,,,,
2704,9988,Reset,,R/W,16,INTEGER,"Read 0. If user sets to 1, resets the unit."
2705,9989,Serial Receive Good Count,,R,16,UINT,0 – 65535
2706,9990,Serial Receive Error Count,,R,16,UINT,0 – 65535
2707,9991,Serial Transmit Good Count,,R,16,UINT,0 – 65535
2708,9992,Serial Transmit Error Count,,R,16,UINT,0 – 65535
2709,9993,Radio Receive Good Count,,R,16,UINT,0 – 65535
270A,9994,Radio Receive Error Count,,R,16,UINT,0 – 65535
270B,9995,Radio Transmit Good Count,,R,16,UINT,0 – 65535
270C,9996,Radio Transmit Error Count,,R,16,UINT,0 – 65535
270D,9997,Uptime Days,,R,16,UINT,0 – 65535
270E,9998,Uptime Hours,,R,16,UINT,0 – 65535
270F,9999,Uptime Minutes,,R,16,UINT,0 – 65535
,,,,,,,
MODE SENSOR,MODE,,,,,,Valid Baud Rates
0,NORMAL,,,,,,4800
1,NULL,,MODE,,,,9600
2,CALIBRATION,,NORMAL,,,,19200
3,RELAY,,NULL,,,,
4,Radio ADD,,CAL,,,GAS TYPE NUM,GAS
5,Diagnostic/ Batt,,,,,0,H2S
6,Advanced Menu,,ADDR,,,1,SO2
7,Admin Menu,,VOLTAGE,,,2,O2
,,,OFF,,,3,CO
Serial Number Char,Char,,RESTART,,,4,CL2
,,,,,,5,CO2
1,A,,,,,6,LEL
2,B,,,,,7,VOC
3,C,,,,,8,FEET
4,D,,,,,9,HCl
5,E,,,,,10,NH3
6,F,,,,,11,H2 
7,G,,,,,12,ClO2
8,H,,,,,13,HCN
9,I,,,,,14,F2
10,J,,,,,15,HF
11,K,,,,,16,CH2O
12,L,,,,,17,NO2
13,M,,,,,18,O3
14,N,,,,,19,INCHES
15,O,,,,,20,4-20
16,P,,,,,21,Not Specified
17,Q,,,,,22,Cº
18,R,,,,,23,Fº
19,S,,,,,                        24..N,Future Gases
20,T,,,,,,
21,U,,,,,SENSOR TYPE NUM,SENSOR
22,V,,,,,,
23,W,,,,,0,EC
24,X,,,,,1,IR
25,Y,,,,,2,CB
26,Z,,,,,3,MOS
27,AA,,,,,4,PID
28,AB,,,,,5,TANK
29,AC,,,,,6,4-20
30,AD,,,,,7,SWITCH
31,AE,,,,,8,Unknown
32,AF,,,,,30,WF190
33,AG,,,,,31,None Selected
34,AH,,,,,,
35,AI,,,,,FAULT,FAULT
36,AJ,,,,,0,NONE
37,AK,,,,,1,Sensor Timeout
38,AL,,,,,2,Future Error
39,AM,,,,,3,Future Error
40,AN,,,,,4,ADC not responding 
41,AO,,,,,5,Null Failed
42,AP,,,,,6,Cal Failed
43,AQ,,,,,7,Future Error
44,AR,,,,,8,Two Sensors Same Address
45,AS,,,,,9,Sensor Radio Timeout
46,AT,,,,,10,"When Sensor is wired, it means no sensor is connected"
47,AU,,,,,11,Future Error
48, AV ,,,,,12,Future Error
49,AW,,,,,13,Unspecified Error on sensor unit.  Shown only on Monitor
50,AX,,,,,14,No Primary Monitor at Sensor Head
51,AY,,,,,15,Monitor Fault
52,AZ,,,,,,
